NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
127BIS;ROCK ;ROCK POP;12/05/15;;HTTPS://TWITTER.COM/127BIS;HTTPS://INSTAGRAM.COM/127BIS/ , WWW.127BIS.COM.AR;REFUGIO (2014) , 127BIS (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=HYC47MEXR4E , HTTPS://WWW.YOUTUBE.COM/WATCH?V=TXVCNYLTYIS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BY34BC8XK6Y;NUÑEZ;2
ENCRISIS;ROCK ;ROCK POP;11/05/15;HTTPS://FACEBOOK.COM/ENCRISIS;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IKXH-RD5QY0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Q0W0S7I135U;VILLA GENERAL MITRE;5
TAL CUAL;ROCK ;ROCK POP;11/05/15;;HTTPS://TWITTER.COM/TALCUALMUSICA;WWW.TALCUALMUSICA.COM;LA CONSTRUCCION DEMENCIAL (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZCJDWH_BEZS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=J-H0STR3J_4;BARRACAS;3
LA GRASA;ROCK ;;11/05/15;;HTTPS://TWITTER.COM/LAGRASAOFICIAL;HTTPS://WWW.FACEBOOK.COM/LA.GRASA.WEB;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=PKZBHFUATJM;LA BOCA;3
HORMIGAS;ROCK ;POWER TRIO;08/05/15;HTTPS://FACEBOOK.COM/PAGES/HORMIGAS/184764435059591;;HTTPS://SOUNDCLOUD.COM/HORMIGAS;HORMIGAS (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=D7LQHYQ2VVO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IR6N_8IYSMM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GX-ZHRAOGNS;VERSALLES;3
EL FONDO NO FISURA;ROCK ;;08/05/15;;HTTPS://TWITTER.COM/ELFONDONOFISURA;HTTPS://SOUNDCLOUD.COM/EFNF , HTTP://ELFONDONOFISURA.BLOGSPOT.COM.AR/;HACIA EL UMBRAL (2014) , VIAJAR, BUSCAR, VIVIR (2011) , QUE TANTO ESCANDALO (2007);HTTPS://WWW.YOUTUBE.COM/WATCH?V=2HWTUQT6Z68 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=6-IXL7PLG0S;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EP8OWA_Q07E;SAN NICOLAS;8
KULTURAMA;SKA / REGGAE ;;08/05/15;HTTPS://FACEBOOK.COM/KULTURAMATELLAMA;HTTPS://TWITTER.COM/KULTURAMAMUSICA;WWW.KULTURAMA.COM.AR;KULTURAMATELLAMA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=F_3NW0Z_C_S;HTTPS://WWW.YOUTUBE.COM/WATCH?V=F_3NW0Z_C_S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MHDRO85A12I;CASEROS;6
SIMIOS;FUNK;;07/05/15;HTTPS://FACEBOOK.COM/SIMIOSOFICIAL;HTTPS://TWITTER.COM/SIMIOSOFICIAL;HTTPS://SOUNDCLOUD.COM/SIMIOSOFICIAL;SIMIOS (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WIRCAQKXKKM;SALADILLO;5
HERMANOS LIMON;INDIE ;;07/05/15;HTTPS://FACEBOOK.COM/HERMANOSLIMON;;HTTPS://WWW.FACEBOOK.COM/HERMANOSLIMONROCK/;MUSICA COMO PARAGUAS (2010);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YEJG4WZZVY0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HQAMQWRJF9S;VILLA DEL PARQUE;4
MILMARES;POP ;POP CANCION;07/05/15;HTTPS://FACEBOOK.COM/MILMARESCANCIONES;;YOUTUBE.COM/MILMARESCANCIONES , HTTP://COMUNIDADFUSA.COM/BANDAS/MILMARES;;;HTTPS://YOUTU.BE/1UFIRRX2B8E?LIST=PLCAEML6B4LSNYRDPLMKVJQGUTERBMVA9O , HTTPS://YOUTU.BE/XWMJ9RRZ1X0?LIST=PLCAEML6B4LSNYRDPLMKVJQGUTERBMVA9O;AGRONOMIA;3
INTUR;ROCK ;ROCK ALTERNATIVO;07/05/15;HTTPS://FACEBOOK.COM/INTUROFICIAL;HTTPS://TWITTER.COM/INTUROFICIAL;HTTP://INSTAGRAM.COM/INTURROCK , HTTP://WWW.INTUROFICIAL.COM/;SINCRONICO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=K-D1WQBEVLY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=5WVRDJXCRXA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=O12FABZUI08 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=_H64YG2YA90;CABALLITO;3
CAPITAN SATURNO;ROCK ;;07/05/15;HTTPS://FACEBOOK.COM/CAPITANSATURNO;;;CAPITAN SATURNO (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZDIR0-XBIE4 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=N7IJKUACSSG;CONSTITUCION;5
